Distrito;Serviço;Quantidade;Porcentagem
LAPA;Fazer reclamação de falta de varrição;4987;20.287202017736554
LAPA;Baixas temperaturas ? Solicitar atendimento social;4161;16.927019770563827
LAPA;Tapa-buraco;4098;16.670734683915057
LAPA;Pessoa em situação de rua ? Solicitar atendimento social;1328;5.402326905866081
LAPA;Árvore ? Solicitar avaliação em calçadas e praças para fins de poda ou remoção;1291;5.251810267675535
LAPA;Entulho e grandes objetos em via pública - solicitar remoção;824;3.352046212675942
LAPA;Guias e sarjetas - Solicitar capinação;656;2.668619314945895
LAPA;Reclamação;618;2.5140346595069563
LAPA;Praça e canteiro central - solicitar roçada;479;1.9485802619803108
LAPA;Reclamação de poluição sonora - PSIU;381;1.5499145716377838
LAPA;Guias, sarjetas e sarjetões - solicitar manutenção;329;1.3383776747213407
LAPA;Lixeiras públicas - solicitar instalação, manutenção ou limpeza;319;1.2976975022374095
LAPA;Solicitar remoção de veículo/carcaça abandonado na via pública;317;1.289561467740623
LAPA;Ônibus - Reclamar de intervalo excessivo da linha;288;1.1715889675372224
LAPA;Solicitar limpeza de bueiros, boca de lobo e poços de visita;253;1.0292083638434626
LAPA;Comércio, serviço e indústria - solicitar fiscalização de funcionamento;207;0.8420795704173786
LAPA;Ônibus ? Denunciar motorista, cobrador ou fiscal por atitude inadequada;195;0.7932633634366609
LAPA;Solicitar fiscalização de obra e reforma em imóvel particular;195;0.7932633634366609
LAPA;Altas Temperaturas - Solicitar Atendimento Social;150;0.61020258725897
LAPA;Denunciar invasão de áreas municipais;130;0.5288422422911073
LAPA;Ônibus - Denunciar motorista por não atender ao sinal de embarque e desembarque;129;0.5247742250427141
LAPA;Reformar galerias de águas de chuvas (pluviais);116;0.47189000081360344
LAPA;Ônibus - Reclamar de descumprimento de partida no ponto inicial/final;115;0.4678219835652103
LAPA;Instalação e remoção de lixeira;105;0.42714181108127897
LAPA;Apoio a agente público;102;0.4149377593360996
LAPA;Circulação e acesso de veículos e pessoas - Solicitar avaliação;97;0.3945976730941339
LAPA;SPTrans - Sugerir melhorias para o sistema de transporte público por ônibus;96;0.3905296558457408
LAPA;Tapa-buraco em faixa exclusiva ou corredor de ônibus;86;0.3498494833618095
LAPA;Solicitar remoção de animal morto em via pública;84;0.3417134488650232
LAPA;Abelhas e Vespas - Solicitar vistoria em ninhos;79;0.3213733626230575
LAPA;Risco iminente de queda de árvore;75;0.305101293629485
LAPA;Devoluções e Restituições ? Fale com a Fazenda;71;0.2888292246359125
LAPA;Denunciar falta de limpeza de terrenos e imóveis particulares;66;0.2684891383939468
LAPA;Intensificar fiscalização de veículos estacionados/parados irregularmente;64;0.2603531038971605
LAPA;Denunciar descarte irregular de entulho e outros resíduos em área pública;52;0.21153689691644292
LAPA;Sinalização horizontal apagada (pintura de solo) ? Solicitar repintura;51;0.2074688796680498
LAPA;Denunciar condições inadequadas de criação;48;0.1952648279228704
LAPA;Solicitar lavagem de calçadões e locais públicos;46;0.18712879342608413
LAPA;Manutenção de placas de trânsito;45;0.18306077617769098
LAPA;Reclamação Anônima (Uso exclusivo da Ouvidoria);43;0.17492474168090474
LAPA;Queda de árvore;43;0.17492474168090474
LAPA;Ratos - Solicitar vistoria em local infestado;43;0.17492474168090474
LAPA;Praças - sugerir reforma e revitalização;41;0.16678870718411845
LAPA;Denunciar reserva irregular de vaga;41;0.16678870718411845
LAPA;Queda de galho;40;0.16272068993572533
LAPA;Pernilongo/Mosquito - Solicitar vistoria em local infestado;38;0.15458465543893907
LAPA;Árvore em área interna ? Solicitar autorização para remoção de árvore com apresentação de laudo;38;0.15458465543893907
LAPA;Reclamações sobre coleta de lixo domiciliar;38;0.15458465543893907
LAPA;Acessibilidade - solicitar avaliação de obstáculo na calçada;36;0.1464486209421528
LAPA;Calçada pública - solicitar manutenção;36;0.1464486209421528
LAPA;Cata Bagulho - Fazer reclamação de não retirada de material;36;0.1464486209421528
LAPA;Semáforo de veículos e pedestres - Sugerir ajuste de tempo;36;0.1464486209421528
LAPA;Ônibus - Manutenção do veículo em geral;34;0.13831258644536654
LAPA;Árvore - denunciar poda ou remoção não autorizada;34;0.13831258644536654
LAPA;Escorpião - Solicitar vistoria de local com escorpiões;32;0.13017655194858024
LAPA;Sugerir criação e ampliação de estacionamento de veículos em vias públicas;32;0.13017655194858024
LAPA;Solicitar fiscalização de ambulantes;31;0.12610853470018712
LAPA;Ônibus - Denunciar motorista por direção perigosa;31;0.12610853470018712
LAPA;Ônibus - Reclamar de motorista por atraso na partida;30;0.12204051745179399
LAPA;Solicitar limpeza da via pública após enchentes ou eventos;30;0.12204051745179399
LAPA;Ocorrências com animais silvestres;30;0.12204051745179399
LAPA;Vielas e escadarias - solicitar manutenção;29;0.11797250020340086
LAPA;Foco de dengue - Solicitar vistoria de local com água parada;28;0.11390448295500774
LAPA;Bilhete Único - Reclamar sobre atendimento em postos de recarga;27;0.1098364657066146
LAPA;Bilhete Único - Relatar falha na recarga;27;0.1098364657066146
LAPA;Calçada particular - denunciar calçada danificada ou inexistente;25;0.10170043120982834
LAPA;Ponto de ônibus ? Solicitar manutenção, conserto e/ou limpeza de equipamento existente;22;0.08949637946464893
LAPA;Ônibus - Reclamar de veículo com superlotação;22;0.08949637946464893
LAPA;Solicitar vistoria e reparo de pontes e viadutos;22;0.08949637946464893
LAPA;Sugerir criação e ampliação de vagas para Idoso/Defis em vias públicas;21;0.0854283622162558
LAPA;Reclamar sobre eventos na via;20;0.08136034496786267
LAPA;Árvore em área interna - Comunicar poda à Prefeitura;19;0.07729232771946953
LAPA;Drenagem de água da chuva - Bueiros e bocas de lobo;18;0.0732243104710764
LAPA;Solicitar fiscalização de estabelecimento com venda de bebida alcoólica entre 1h e 5h da manhã;18;0.0732243104710764
LAPA;Denunciar material de construção depositado em vias públicas;17;0.06915629322268327
LAPA;Denunciar violação de direitos humanos da população em situação de rua;16;0.06508827597429012
LAPA;Intensificar fiscalização de veículos em movimento;16;0.06508827597429012
LAPA;Travessia de pedestres - Solicitar avaliação;16;0.06508827597429012
LAPA;Ônibus ? Solicitar implantação de ponto ou abrigo;15;0.061020258725896996
LAPA;Ônibus  ? Solicitar reinstalação de ponto ou abrigo;15;0.061020258725896996
LAPA;Lixo domiciliar ? Denunciar colocação de lixo fora do horário de coleta;15;0.061020258725896996
LAPA;Risco de desabamento;15;0.061020258725896996
LAPA;Ônibus - Elogiar o(a) motorista, cobrador(a) ou fiscal;15;0.061020258725896996
LAPA;Reclamar sobre coleta de lixo domiciliar;15;0.061020258725896996
LAPA;Água limpa e parada ? Solicitar vistoria de local com acúmulo;14;0.05695224147750387
LAPA;Ônibus ? Solicitar mudança de ponto ou abrigo;14;0.05695224147750387
LAPA;Reclamações sobre coleta de resíduos de serviços de saúde;14;0.05695224147750387
LAPA;Praças - Solicitar manutenção de equipamentos (mesas, bancos, brinquedos e equipamentos de ginástica);14;0.05695224147750387
LAPA;Pombos - Solicitar vistoria em local infestado;13;0.05288422422911073
LAPA;Morcegos - Reclamar sobre local com morcegos;13;0.05288422422911073
LAPA;Autos de Infração - Fale com a Fazenda;13;0.05288422422911073
